2020-07-01,76,12:00:00,13:00:00
2020-07-02,107,14:00:00,15:00:00
2020-07-03,110,15:30:00,16:30:00
2020-07-04,81,15:30:00,16:30:00
2020-07-05,109,11:30:00,12:30:00
2020-07-06,117,11:30:00,12:30:00
2020-07-07,106,11:30:00,12:30:00
2020-07-08,87,14:30:00,15:30:00
2020-07-09,88,15:30:00,16:30:00
2020-07-10,82,15:30:00,16:30:00
2020-07-11,71,15:30:00,16:30:00
2020-07-12,111,15:00:00,16:00:00
2020-07-13,96,12:30:00,13:30:00
2020-07-14,95,13:30:00,14:30:00
2020-07-15,118,12:30:00,13:30:00
2020-07-16,108,15:30:00,16:30:00
2020-07-17,91,11:30:00,12:30:00
2020-07-18,101,13:30:00,14:30:00
2020-07-19,107,14:00:00,15:00:00
2020-07-20,93,15:30:00,16:30:00
2020-07-21,102,15:30:00,16:30:00
2020-07-22,116,12:30:00,13:30:00
2020-07-23,88,12:30:00,13:30:00
2020-07-24,117,15:30:00,16:30:00
2020-07-25,102,11:30:00,12:30:00
2020-07-26,97,13:00:00,14:00:00
2020-07-27,97,14:00:00,15:00:00
2020-07-28,106,12:30:00,13:30:00
2020-07-29,88,14:00:00,15:00:00
2020-07-30,89,14:30:00,15:30:00
2020-07-31,109,14:30:00,15:30:00
