2020-09-01,00:00:00,0
2020-09-01,00:30:00,0
2020-09-01,01:00:00,0
2020-09-01,01:30:00,0
2020-09-01,02:00:00,0
2020-09-01,02:30:00,0
2020-09-01,03:00:00,0
2020-09-01,03:30:00,0
2020-09-01,04:00:00,0
2020-09-01,04:30:00,0
2020-09-01,05:00:00,0
2020-09-01,05:30:00,0
2020-09-01,06:00:00,0
2020-09-01,06:30:00,0
2020-09-01,07:00:00,0
2020-09-01,07:30:00,0
2020-09-01,08:00:00,1
2020-09-01,08:30:00,1
2020-09-01,09:00:00,1
2020-09-01,09:30:00,3
2020-09-01,10:00:00,2
2020-09-01,10:30:00,2
2020-09-01,11:00:00,5
2020-09-01,11:30:00,2
2020-09-01,12:00:00,5
2020-09-01,12:30:00,2
2020-09-01,13:00:00,10
2020-09-01,13:30:00,5
2020-09-01,14:00:00,3
2020-09-01,14:30:00,7
2020-09-01,15:00:00,8
2020-09-01,15:30:00,1
2020-09-01,16:00:00,6
2020-09-01,16:30:00,5
2020-09-01,17:00:00,2
2020-09-01,17:30:00,3
2020-09-01,18:00:00,4
2020-09-01,18:30:00,3
2020-09-01,19:00:00,2
2020-09-01,19:30:00,1
2020-09-01,20:00:00,0
2020-09-01,20:30:00,0
2020-09-01,21:00:00,0
2020-09-01,21:30:00,0
2020-09-01,22:00:00,0
2020-09-01,22:30:00,0
2020-09-01,23:00:00,0
2020-09-01,23:30:00,0
2020-09-02,00:00:00,0
2020-09-02,00:30:00,0
2020-09-02,01:00:00,0
2020-09-02,01:30:00,0
2020-09-02,02:00:00,0
2020-09-02,02:30:00,0
2020-09-02,03:00:00,0
2020-09-02,03:30:00,0
2020-09-02,04:00:00,0
2020-09-02,04:30:00,0
2020-09-02,05:00:00,0
2020-09-02,05:30:00,0
2020-09-02,06:00:00,0
2020-09-02,06:30:00,0
2020-09-02,07:00:00,0
2020-09-02,07:30:00,0
2020-09-02,08:00:00,1
2020-09-02,08:30:00,2
2020-09-02,09:00:00,1
2020-09-02,09:30:00,2
2020-09-02,10:00:00,3
2020-09-02,10:30:00,5
2020-09-02,11:00:00,4
2020-09-02,11:30:00,3
2020-09-02,12:00:00,8
2020-09-02,12:30:00,2
2020-09-02,13:00:00,1
2020-09-02,13:30:00,2
2020-09-02,14:00:00,1
2020-09-02,14:30:00,4
2020-09-02,15:00:00,3
2020-09-02,15:30:00,7
2020-09-02,16:00:00,2
2020-09-02,16:30:00,8
2020-09-02,17:00:00,3
2020-09-02,17:30:00,5
2020-09-02,18:00:00,3
2020-09-02,18:30:00,4
2020-09-02,19:00:00,1
2020-09-02,19:30:00,4
2020-09-02,20:00:00,0
2020-09-02,20:30:00,0
2020-09-02,21:00:00,0
2020-09-02,21:30:00,0
2020-09-02,22:00:00,0
2020-09-02,22:30:00,0
2020-09-02,23:00:00,0
2020-09-02,23:30:00,0
