2020-04-01,96,16:00:00,17:00:00
2020-04-02,103,13:30:00,14:30:00
2020-04-03,102,14:30:00,15:30:00
2020-04-04,92,15:30:00,16:30:00
2020-04-05,112,15:30:00,16:30:00
2020-04-06,75,11:30:00,12:30:00
2020-04-07,93,12:00:00,13:00:00
2020-04-08,91,14:30:00,15:30:00
2020-04-09,84,12:00:00,13:00:00
2020-04-10,99,12:30:00,13:30:00
2020-04-11,97,14:00:00,15:00:00
2020-04-12,100,13:30:00,14:30:00
2020-04-13,98,11:30:00,12:30:00
2020-04-14,104,15:30:00,16:30:00
2020-04-15,87,11:30:00,12:30:00
2020-04-16,98,13:00:00,14:00:00
2020-04-17,101,14:00:00,15:00:00
2020-04-18,110,15:00:00,16:00:00
2020-04-19,103,15:00:00,16:00:00
2020-04-20,98,12:30:00,13:30:00
2020-04-21,104,14:00:00,15:00:00
2020-04-22,99,12:00:00,13:00:00
2020-04-23,108,14:30:00,15:30:00
2020-04-24,98,13:30:00,14:30:00
2020-04-25,103,13:00:00,14:00:00
2020-04-26,90,12:00:00,13:00:00
2020-04-27,93,11:00:00,12:00:00
2020-04-28,97,15:30:00,16:30:00
2020-04-29,87,11:30:00,12:30:00
2020-04-30,94,14:30:00,15:30:00
