2020-08-01,109,13:00:00,14:00:00
2020-08-02,105,14:30:00,15:30:00
2020-08-03,115,13:30:00,14:30:00
2020-08-04,80,13:30:00,14:30:00
2020-08-05,116,12:30:00,13:30:00
2020-08-06,83,15:00:00,16:00:00
2020-08-07,106,11:30:00,12:30:00
2020-08-08,94,14:30:00,15:30:00
2020-08-09,89,16:00:00,17:00:00
2020-08-10,113,15:30:00,16:30:00
2020-08-11,81,12:00:00,13:00:00
2020-08-12,123,15:00:00,16:00:00
2020-08-13,81,15:00:00,16:00:00
2020-08-14,91,14:00:00,15:00:00
2020-08-15,88,15:00:00,16:00:00
2020-08-16,106,14:30:00,15:30:00
2020-08-17,86,14:30:00,15:30:00
2020-08-18,89,14:30:00,15:30:00
2020-08-19,95,13:30:00,14:30:00
2020-08-20,128,12:00:00,13:00:00
2020-08-21,90,15:30:00,16:30:00
2020-08-22,111,15:30:00,16:30:00
2020-08-23,87,12:00:00,13:00:00
2020-08-24,93,14:00:00,15:00:00
2020-08-25,85,14:30:00,15:30:00
2020-08-26,83,13:30:00,14:30:00
2020-08-27,97,13:00:00,14:00:00
2020-08-28,105,15:30:00,16:30:00
2020-08-29,92,14:30:00,15:30:00
2020-08-30,97,15:30:00,16:30:00
2020-08-31,115,13:30:00,14:30:00
