2020-06-01,103,15:30:00,16:30:00
2020-06-02,88,13:30:00,14:30:00
2020-06-03,115,12:30:00,13:30:00
2020-06-04,100,14:00:00,15:00:00
2020-06-05,111,13:00:00,14:00:00
2020-06-06,101,15:30:00,16:30:00
2020-06-07,94,15:30:00,16:30:00
2020-06-08,100,12:00:00,13:00:00
2020-06-09,99,12:00:00,13:00:00
2020-06-10,111,12:30:00,13:30:00
2020-06-11,95,13:30:00,14:30:00
2020-06-12,98,15:00:00,16:00:00
2020-06-13,99,12:00:00,13:00:00
2020-06-14,82,15:00:00,16:00:00
2020-06-15,86,14:00:00,15:00:00
2020-06-16,107,14:30:00,15:30:00
2020-06-17,106,15:00:00,16:00:00
2020-06-18,84,12:30:00,13:30:00
2020-06-19,93,12:00:00,13:00:00
2020-06-20,93,14:00:00,15:00:00
2020-06-21,90,12:00:00,13:00:00
2020-06-22,65,15:30:00,16:30:00
2020-06-23,105,11:30:00,12:30:00
2020-06-24,98,15:30:00,16:30:00
2020-06-25,123,12:00:00,13:00:00
2020-06-26,89,13:00:00,14:00:00
2020-06-27,109,15:00:00,16:00:00
2020-06-28,122,12:30:00,13:30:00
2020-06-29,118,15:30:00,16:30:00
2020-06-30,105,12:00:00,13:00:00
